10,"Rendre un rapport",2024-06-13,17:00,0,10,90,Travail
9,"Assister à une réunion",2024-06-12,09:00,0,9,80,Travail
14,"Préparer une présentation",2024-06-17,13:00,0,8,50,"Travail,Études"
21,"Écrire un article",2024-06-24,14:00,0,8,70,Travail
3,"Apprendre PHP",2024-06-06,14:00,0,8,30,Travail
6,"Faire les courses",2024-06-09,11:00,0,7,70,Courses
2,Cuisiner,2024-06-05,18:00,0,5,30,"Personnel,Cuisine"
8,"Lire un livre",2024-06-11,16:00,0,5,60,"Personnel,Lecture"
19,"Faire du vélo",2024-06-22,06:00,0,5,50,"Personnel,Sport"
4,Jogging,2024-06-07,06:30,0,4,20,"Personnel,Sport"
12,"Appeler maman",2024-06-15,19:00,0,4,10,Personnel
17,"Planter des fleurs",2024-06-20,08:00,0,4,60,"Personnel,Jardinage"
11,"Aller chez le médecin",2024-06-14,15:00,0,3,20,"Personnel,Santé"
18,"Aller à la plage",2024-06-21,10:00,0,3,80,"Personnel,Divertissement"
7,"Regarder un film",2024-06-10,20:00,0,2,50,Divertissement
16,Méditer,2024-06-19,07:00,0,1,40,Personnel
25,"Faire du tricot",2024-06-28,10:00,0,1,20,Loisir
26,Test,2024-05-28,,0,1,0,Travail
15,"Travailler sur un projet",2024-06-18,09:00,0,7,70,Travail
20,"Visiter un musée",2024-06-23,12:00,1,6,40,Personnel
5,"Nettoyer la maison",2024-06-08,10:00,1,6,40,"Personnel,Ménage"
1,Danser,2024-06-04,23:34,1,3,10,"Personnel,Divertissement"
13,"Jouer à des jeux vidéo",2024-06-16,21:00,1,2,30,Divertissement
22,"Faire du yoga",2024-06-25,07:00,1,1,30,Sport
23,"Faire du jardinage",2024-06-26,08:00,1,1,60,Jardinage
24,"Faire du bricolage",2024-06-27,09:00,1,1,70,Bricolage
